Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64133592797caaca97ef2e03,603d7b3fdde61ec5add26f18,AWAITING REVIEW,2023-03-16T15:28:18.664000Z,2023-03-16T15:39:58.481000Z,,2023-03-16T15:39:58.890095Z,700,CVCWHIQC,155,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64133596272481df4da18858,60fca5af374ff4b335041fc3,AWAITING REVIEW,2023-03-16T15:28:25.384000Z,2023-03-16T15:39:08.843000Z,,2023-03-16T15:39:09.602135Z,644,CVCWHIQC,142,19,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
64133596710a8da2129bec31,60705c85858fb8154a1515ed,AWAITING REVIEW,2023-03-16T15:28:28.713000Z,2023-03-16T15:35:49.039000Z,,2023-03-16T15:35:49.421292Z,441,CVCWHIQC,231,26,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
64133597ceb49510d8b0005f,613615da1eacf6204ce33479,AWAITING REVIEW,2023-03-16T15:28:23.377000Z,2023-03-16T15:37:04.766000Z,,2023-03-16T15:37:05.166693Z,522,CVCWHIQC,204,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6413359816f5c8d920c13292,5e12048c7605fe8839180a14,AWAITING REVIEW,2023-03-16T15:29:23.255000Z,2023-03-16T15:46:54.396000Z,,2023-03-16T15:47:16.680145Z,1052,CVCWHIQC,350,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6413359a551c85b0b9561d64,610d97ed406cb5e7dfc695ae,AWAITING REVIEW,2023-03-16T15:28:26.467000Z,2023-03-16T15:40:57.961000Z,,2023-03-16T15:40:58.392579Z,752,CVCWHIQC,192,26,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6413359b8bb1c95b91de3df8,60db6280e9085ee02fc6e69d,AWAITING REVIEW,2023-03-16T15:28:27.143000Z,2023-03-16T15:43:22.326000Z,,2023-03-16T15:43:22.691116Z,896,CVCWHIQC,279,22,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
641335a02ba0457abbfe7d3f,6164e321bf2d6a6ad6afa256,AWAITING REVIEW,2023-03-16T15:28:32.559000Z,2023-03-16T15:40:09.384000Z,,2023-03-16T15:40:10.879401Z,697,CVCWHIQC,74,24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
641335a1ec9243a391b822dd,6107aba3b4596bf4a2fbbd76,AWAITING REVIEW,2023-03-16T15:28:33.061000Z,2023-03-16T15:41:27.234000Z,,2023-03-16T15:41:27.706634Z,775,CVCWHIQC,280,35,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
641335a4701247bc14f21425,5eda4f802514f662acfbfd96,AWAITING REVIEW,2023-03-16T15:28:36.791000Z,2023-03-16T15:47:25.626000Z,,2023-03-16T15:47:33.176572Z,1129,CVCWHIQC,120,44,Female,White,South Africa,Portugal,South Africa,Afrikaans,No,Unemployed (and job seeking)
641335a635fcfdba6878d5f9,5e24e2abaedc2c76590bbace,AWAITING REVIEW,2023-03-16T15:28:44.727000Z,2023-03-16T15:46:24.570000Z,,2023-03-16T15:46:49.062619Z,1060,CVCWHIQC,197,50,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Other
641335ab1703fd8a4672ac55,60d1ad57fb10e23b2157d23a,AWAITING REVIEW,2023-03-16T15:29:26.627000Z,2023-03-16T16:00:04.738000Z,,2023-03-16T16:00:06.802118Z,1839,CVCWHIQC,305,39,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
